[INIT] Bridge connectat. Preu: 83.0005 | Caixa: 86411.8
[2026-03-01 22:12:36] STATUS -> Preu: 82.8847 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:13:07] STATUS -> Preu: 81.137 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:13:37] STATUS -> Preu: 82.99 | Caixa: 86411.8 | SOL: 0
[MAKER] Ordre LIMIT de compra col·locada: 940.679 SOL @ 81.216. Esperant fins a 20s...
[MAKER] Temps esgotat (20s). Cancel·lant la part restant de l'ordre.
[MAKER] No s'ha aconseguit omplir res de l'ordre.
[2026-03-01 22:14:35] STATUS -> Preu: 83.4784 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:15:06] STATUS -> Preu: 83.3936 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:15:37] STATUS -> Preu: 83.4613 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:16:08] STATUS -> Preu: 83.5563 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:16:39] STATUS -> Preu: 83.351 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:17:10] STATUS -> Preu: 83.4356 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:17:41] STATUS -> Preu: 83.401 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:18:11] STATUS -> Preu: 83.5025 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:18:42] STATUS -> Preu: 83.5859 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:19:13] STATUS -> Preu: 83.5859 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:19:44] STATUS -> Preu: 83.5413 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:20:15] STATUS -> Preu: 83.5 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:20:46] STATUS -> Preu: 83.4654 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:21:17] STATUS -> Preu: 83.5271 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:21:47] STATUS -> Preu: 83.3882 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:22:18] STATUS -> Preu: 83.2853 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:22:49] STATUS -> Preu: 83.3795 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:23:20] STATUS -> Preu: 83.381 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:23:51] STATUS -> Preu: 83.4061 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:24:22] STATUS -> Preu: 83.4061 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:24:53] STATUS -> Preu: 83.4815 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:25:24] STATUS -> Preu: 83.4525 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:25:54] STATUS -> Preu: 83.3993 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:26:25] STATUS -> Preu: 83.1553 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:26:56] STATUS -> Preu: 82.9663 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:27:27] STATUS -> Preu: 83.1351 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:27:58] STATUS -> Preu: 83.1351 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:28:29] STATUS -> Preu: 83.1958 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:29:00] STATUS -> Preu: 83.1958 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:29:30] STATUS -> Preu: 83.257 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:30:01] STATUS -> Preu: 83.23 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:30:32] STATUS -> Preu: 83.3089 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:31:03] STATUS -> Preu: 83.3322 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:31:34] STATUS -> Preu: 83.3374 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:32:05] STATUS -> Preu: 83.2355 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:32:36] STATUS -> Preu: 83.1437 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:33:06] STATUS -> Preu: 83.0751 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:33:37] STATUS -> Preu: 83.1205 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:34:08] STATUS -> Preu: 83.083 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:34:39] STATUS -> Preu: 82.8675 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:35:10] STATUS -> Preu: 82.7715 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:35:41] STATUS -> Preu: 82.81 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:36:12] STATUS -> Preu: 82.8435 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:36:42] STATUS -> Preu: 82.536 | Caixa: 86411.8 | SOL: 0
